"Method","Time (ms)","Count"
"sun.reflect.annotation.AnnotationParser.parseAnnotations2(byte[], ConstantPool, Class, Class[]) AnnotationParser.java","547","186"
"com.sun.org.apache.xerces.internal.jaxp.SAXParserImpl$JAXPSAXParser.parse(InputSource) SAXParserImpl.java","545","13"
"com.sun.org.apache.xerces.internal.parsers.AbstractSAXParser.parse(InputSource) AbstractSAXParser.java","545","13"
"com.sun.org.apache.xerces.internal.parsers.XMLParser.parse(XMLInputSource) XMLParser.java","545","13"
"com.sun.org.apache.xerces.internal.parsers.XML11Configuration.parse(XMLInputSource) XML11Configuration.java","544","13"
"com.sun.org.apache.xerces.internal.parsers.XML11Configuration.parse(boolean) XML11Configuration.java","544","13"
"sun.reflect.annotation.AnnotationParser.parseAnnotation2(ByteBuffer, ConstantPool, Class, boolean, Class[]) AnnotationParser.java","540","441"
"org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader.loadBeanDefinitions(Set) ConfigurationClassBeanDefinitionReader.java","525","1"
"org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader.loadBeanDefinitionsForConfigurationClass(ConfigurationClass, ConfigurationClassBeanDefinitionReader$TrackedConditionEvaluator) ConfigurationClassBeanDefinitionReader.java","523","38"
"org.springframework.cglib.core.DefaultGeneratorStrategy.generate(ClassGenerator) DefaultGeneratorStrategy.java","522","35"
"com.sun.org.apache.xerces.internal.impl.XMLDocumentFragmentScannerImpl.scanDocument(boolean) XMLDocumentFragmentScannerImpl.java","517","13"
"org.springframework.context.support.AbstractApplicationContext.registerBeanPostProcessors(ConfigurableListableBeanFactory) AbstractApplicationContext.java","515","1"
"org.springframework.context.support.PostProcessorRegistrationDelegate.registerBeanPostProcessors(ConfigurableListableBeanFactory, AbstractApplicationContext) PostProcessorRegistrationDelegate.java","515","1"
"com.sun.org.apache.xerces.internal.impl.XMLDocumentScannerImpl.next() XMLDocumentScannerImpl.java","511","3451"
"com.sun.org.apache.xerces.internal.impl.XMLDocumentFragmentScannerImpl$FragmentContentDriver.next() XMLDocumentFragmentScannerImpl.java","496","3412"
"org.springframework.core.type.classreading.SimpleMetadataReaderFactory.getMetadataReader(Resource) SimpleMetadataReaderFactory.java","487","108"
"org.springframework.core.type.classreading.SimpleMetadataReader.<init>(Resource, ClassLoader) SimpleMetadataReader.java","486","108"
"java.util.concurrent.ThreadPoolExecutor$Worker.run() ThreadPoolExecutor.java","485","1"
"java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor$Worker) ThreadPoolExecutor.java","485","1"
"java.lang.UNIXProcess$$Lambda$7.run()","484","1"
"java.lang.UNIXProcess.lambda$initStreams$3() UNIXProcess.java","484","1"
"org.springframework.boot.autoconfigure.AutoConfigurationImportSelector.selectImports(AnnotationMetadata) AutoConfigurationImportSelector.java","477","1"
"org.springframework.context.annotation.ConfigurationClassEnhancer$BeanFactoryAwareGeneratorStrategy.generate(ClassGenerator) ConfigurationClassEnhancer.java","473","33"
"org.springframework.boot.bind.RelaxedNames.<init>(String) RelaxedNames.java","467","363"
"org.springframework.boot.bind.RelaxedNames.initialize(String, Set) RelaxedNames.java","466","9075"
"org.springframework.cglib.transform.TransformingClassGenerator.generateClass(ClassVisitor) TransformingClassGenerator.java","460","33"
"org.springframework.cglib.proxy.Enhancer.generateClass(ClassVisitor) Enhancer.java","460","33"
"org.springframework.context.annotation.ConfigurationClassParser.processMemberClasses(ConfigurationClass, ConfigurationClassParser$SourceClass) ConfigurationClassParser.java","459","41"
"sun.misc.URLClassPath$FileLoader.getResource(String, boolean) URLClassPath.java","457","3227"
"com.sun.org.apache.xerces.internal.impl.XMLDocumentFragmentScannerImpl.scanStartElement() XMLDocumentFragmentScannerImpl.java","447","1046"
"java.lang.reflect.Constructor.newInstance(Object[]) Constructor.java","445","1897"
"sun.reflect.DelegatingConstructorAccessorImpl.newInstance(Object[]) DelegatingConstructorAccessorImpl.java","440","1883"
"sun.reflect.NativeConstructorAccessorImpl.newInstance(Object[]) NativeConstructorAccessorImpl.java","432","578"
"java.util.jar.JarFile.getJarEntry(String) JarFile.java","431","63900"
"org.springframework.boot.type.classreading.ConcurrentReferenceCachingMetadataReaderFactory.getMetadataReader(Resource) ConcurrentReferenceCachingMetadataReaderFactory.java","405","442"
"java.util.jar.JarFile.getEntry(String) JarFile.java","405","64062"
"org.springframework.boot.type.classreading.ConcurrentReferenceCachingMetadataReaderFactory.createMetadataReader(Resource) ConcurrentReferenceCachingMetadataReaderFactory.java","395","107"
"java.lang.reflect.Proxy.newProxyInstance(ClassLoader, Class[], InvocationHandler) Proxy.java","384","440"
"java.lang.Class.annotationData() Class.java","382","2612"
"java.lang.Class.createAnnotationData(int) Class.java","382","165"
"java.net.URL.<init>(URL, String) URL.java","382","9403"
"java.net.URL.<init>(URL, String, URLStreamHandler) URL.java","377","9403"
"org.springframework.asm.ClassReader.accept(ClassVisitor, int) ClassReader.java","375","145"
"org.springframework.asm.ClassReader.accept(ClassVisitor, Attribute[], int) ClassReader.java","374","145"
"java.util.zip.ZipFile.getEntry(String) ZipFile.java","368","64062"
"org.springframework.boot.SpringApplication.prepareContext(ConfigurableApplicationContext, ConfigurableEnvironment, SpringApplicationRunListeners, ApplicationArguments, Banner) SpringApplication.java","363","1"
"java.lang.ClassLoader.getResource(String) ClassLoader.java","349","1394"
"org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader.loadBeanDefinitionsForBeanMethod(BeanMethod) ConfigurationClassBeanDefinitionReader.java","349","66"
"java.lang.reflect.Proxy.getProxyClass0(ClassLoader, Class[]) Proxy.java","343","440"
"java.lang.reflect.WeakCache.get(Object, Object) WeakCache.java","343","440"
"java.lang.reflect.WeakCache$Factory.get() WeakCache.java","335","42"
"java.lang.reflect.Proxy$ProxyClassFactory.apply(Object, Object) Proxy.java","334","42"
"java.lang.reflect.Proxy$ProxyClassFactory.apply(ClassLoader, Class[]) Proxy.java","334","42"
"org.springframework.boot.bind.RelaxedPropertyResolver.getSubProperties(String) RelaxedPropertyResolver.java","328","2"
"org.springframework.boot.bind.PropertySourceUtils.getSubProperties(PropertySources, String, String) PropertySourceUtils.java","327","2"
"org.springframework.boot.bind.PropertySourceUtils.getSubKey(String, String, RelaxedNames) PropertySourceUtils.java","324","242"
"sun.misc.ProxyGenerator.generateProxyClass(String, Class[], int) ProxyGenerator.java","317","42"
"sun.reflect.annotation.AnnotationParser.annotationForMap(Class, Map) AnnotationParser.java","317","353"
"sun.misc.ProxyGenerator.generateClassFile() ProxyGenerator.java","317","42"
"sun.reflect.annotation.AnnotationParser$1.run() AnnotationParser.java","315","353"
"sun.reflect.annotation.AnnotationParser$1.run() AnnotationParser.java","315","353"
"org.springframework.cglib.proxy.Enhancer.emitMethods(ClassEmitter, List, List) Enhancer.java","314","33"
"org.springframework.boot.SpringApplication.<init>(Object[]) SpringApplication.java","312","2"
"org.springframework.boot.SpringApplication.initialize(Object[]) SpringApplication.java","311","1"
"org.springframework.boot.autoconfigure.condition.OnBeanCondition.getMatchOutcome(ConditionContext, AnnotatedTypeMetadata) OnBeanCondition.java","307","36"
"org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBeanInstance(String, RootBeanDefinition, Object[]) AbstractAutowireCapableBeanFactory.java","306","15"
"org.springframework.boot.SpringApplication.load(ApplicationContext, Object[]) SpringApplication.java","305","1"
"org.springframework.boot.autoconfigure.AutoConfigurationImportSelector.getExclusions(AnnotationMetadata, AnnotationAttributes) AutoConfigurationImportSelector.java","301","1"
"org.springframework.boot.autoconfigure.AutoConfigurationImportSelector.getExcludeAutoConfigurationsProperty() AutoConfigurationImportSelector.java","301","1"
"org.springframework.boot.SpringApplication.getSpringFactoriesInstances(Class, Class[], Object[]) SpringApplication.java","299","3"
"org.springframework.boot.autoconfigure.BackgroundPreinitializer$MessageConverterInitializer.run() BackgroundPreinitializer.java","293","1"
"com.sun.org.apache.xerces.internal.parsers.AbstractSAXParser.startElement(QName, XMLAttributes, Augmentations) AbstractSAXParser.java","291","1046"
"org.apache.tomcat.util.digester.Digester.startElement(String, String, String, Attributes) Digester.java","290","1046"
"org.springframework.asm.ClassReader.readAnnotationValues(int, char[], boolean, AnnotationVisitor) ClassReader.java","290","610"
"sun.reflect.generics.parser.SignatureParser.parseClassTypeSignature() SignatureParser.java","287","1358"
"org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.predictBeanType(String, RootBeanDefinition, Class[]) AbstractAutowireCapableBeanFactory.java","285","3182"
"org.springframework.http.converter.support.AllEncompassingFormHttpMessageConverter.<init>() AllEncompassingFormHttpMessageConverter.java","285","1"
"org.springframework.core.io.ClassPathResource.resolveURL() ClassPathResource.java","284","556"
"java.net.URLClassLoader.findResource(String) URLClassLoader.java","283","1394"
"org.springframework.boot.SpringApplication.getSpringFactoriesInstances(Class) SpringApplication.java","281","2"
"org.springframework.beans.factory.support.AbstractBeanFactory.isFactoryBean(String, RootBeanDefinition) AbstractBeanFactory.java","281","1939"
"org.springframework.boot.BeanDefinitionLoader.load() BeanDefinitionLoader.java","280","1"
"org.springframework.boot.BeanDefinitionLoader.load(Object) BeanDefinitionLoader.java","280","1"
"org.springframework.boot.BeanDefinitionLoader.load(Class) BeanDefinitionLoader.java","280","1"
"java.net.URLClassLoader$2.run() URLClassLoader.java","278","1394"
"sun.reflect.generics.parser.SignatureParser.parsePackageNameAndSimpleClassTypeSignature() SignatureParser.java","278","1358"
"java.net.URLClassLoader$2.run() URLClassLoader.java","277","1394"
"sun.misc.URLClassPath.findResource(String, boolean) URLClassPath.java","277","1394"
"org.springframework.core.type.classreading.AnnotationAttributesReadingVisitor.visitEnd() AnnotationAttributesReadingVisitor.java","274","396"
"org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.determineTargetType(String, RootBeanDefinition, Class[]) AbstractAutowireCapableBeanFactory.java","273","3191"
"org.springframework.core.io.ClassPathResource.exists() ClassPathResource.java","270","524"
"org.springframework.context.annotation.ConfigurationClassParser.getImports(ConfigurationClassParser$SourceClass) ConfigurationClassParser.java","263","41"
"org.springframework.context.annotation.ConfigurationClassParser.collectImports(ConfigurationClassParser$SourceClass, Set, Set) ConfigurationClassParser.java","262","252"
"org.springframework.beans.CachedIntrospectionResults.forClass(Class) CachedIntrospectionResults.java","262","17"
"org.springframework.beans.CachedIntrospectionResults.<init>(Class) CachedIntrospectionResults.java","262","15"
"org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.instantiateUsingFactoryMethod(String, RootBeanDefinition, Object[]) AbstractAutowireCapableBeanFactory.java","256","4"
"org.springframework.beans.factory.support.ConstructorResolver.instantiateUsingFactoryMethod(String, RootBeanDefinition, Object[]) ConstructorResolver.java","256","4"
"sun.reflect.annotation.AnnotationParser.parseSig(String, Class) AnnotationParser.java","254","848"
"org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.populateBean(String, RootBeanDefinition, BeanWrapper) AbstractAutowireCapableBeanFactory.java","252","14"
"com.sun.org.apache.xerces.internal.parsers.AbstractXMLDocumentParser.emptyElement(QName, XMLAttributes, Augmentations) AbstractXMLDocumentParser.java","249","797"
"sun.reflect.generics.parser.SignatureParser.parseFieldTypeSignature() SignatureParser.java","248","1204"
"org.springframework.boot.autoconfigure.condition.OnBeanCondition.getMatchingBeans(ConditionContext, OnBeanCondition$BeanSearchSpec) OnBeanCondition.java","247","41"
"sun.reflect.generics.parser.SignatureParser.parseFieldTypeSignature(boolean) SignatureParser.java","247","1204"
"org.springframework.beans.BeanWrapperImpl.getCachedIntrospectionResults() BeanWrapperImpl.java","247","43"
"org.springframework.boot.autoconfigure.condition.OnBeanCondition.getBeanNamesForType(ListableBeanFactory, String, ClassLoader, boolean) OnBeanCondition.java","246","42"
"java.lang.Class.getDeclaredAnnotations() Class.java","245","916"
"org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.getTypeForFactoryMethod(String, RootBeanDefinition, Class[]) AbstractAutowireCapableBeanFactory.java","244","114"
"org.springframework.boot.autoconfigure.condition.OnBeanCondition.collectBeanNamesForType(Set, ListableBeanFactory, Class, boolean) OnBeanCondition.java","243","40"
"org.apache.commons.logging.LogFactory.getLog(Class) LogFactory.java","242","1013"
"org.apache.commons.logging.impl.SLF4JLogFactory.getInstance(Class) SLF4JLogFactory.java","241","1013"
"org.apache.commons.logging.impl.SLF4JLogFactory.getInstance(String) SLF4JLogFactory.java","240","1013"
"sun.reflect.generics.parser.SignatureParser.parseIdentifier() SignatureParser.java","239","5985"
"org.springframework.beans.factory.support.ConstructorResolver.createArgumentArray(String, RootBeanDefinition, ConstructorArgumentValues, BeanWrapper, Class[], String[], Object, boolean) ConstructorResolver.java","237","5"
"org.springframework.boot.SpringApplication.<clinit>() SpringApplication.java","237","2"
"org.springframework.util.ReflectionUtils.getUniqueDeclaredMethods(Class) ReflectionUtils.java","236","114"
"org.springframework.util.ReflectionUtils.doWithMethods(Class, ReflectionUtils$MethodCallback) ReflectionUtils.java","236","120"
"org.springframework.util.ReflectionUtils.doWithMethods(Class, ReflectionUtils$MethodCallback, ReflectionUtils$MethodFilter) ReflectionUtils.java","236","316"
"org.springframework.context.annotation.ConfigurationClassParser$SourceClass.getRelated(String) ConfigurationClassParser.java","235","812"
"org.springframework.beans.factory.support.ConstructorResolver.resolveAutowiredArgument(MethodParameter, String, Set, TypeConverter) ConstructorResolver.java","235","2"
"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder.build() Jackson2ObjectMapperBuilder.java","233","2"
"java.lang.StringBuilder.append(String) StringBuilder.java","232","115422"
"org.springframework.beans.factory.support.DefaultListableBeanFactory.resolveDependency(DependencyDescriptor, String, Set, TypeConverter) DefaultListableBeanFactory.java","232","2"
"org.springframework.beans.factory.support.DefaultListableBeanFactory.doResolveDependency(DependencyDescriptor, String, Set, TypeConverter) DefaultListableBeanFactory.java","232","2"
"org.springframework.http.converter.json.MappingJackson2HttpMessageConverter.<init>() MappingJackson2HttpMessageConverter.java","230","1"
"org.springframework.context.annotation.ConfigurationClassParser.asSourceClasses(String[]) ConfigurationClassParser.java","227","14"
"sun.reflect.generics.parser.SignatureParser.parseTypeSignature() SignatureParser.java","226","977"
"org.springframework.boot.autoconfigure.BackgroundPreinitializer$ConversionServiceInitializer.run() BackgroundPreinitializer.java","226","1"
"java.util.zip.ZipCoder.getBytes(String) ZipCoder.java","225","66317"
"org.springframework.boot.SpringApplication.createSpringFactoriesInstances(Class, Class[], ClassLoader, Object[], Set) SpringApplication.java","225","3"
"org.springframework.format.support.DefaultFormattingConversionService.<init>(StringValueResolver, boolean) DefaultFormattingConversionService.java","221","1"
"org.springframework.format.support.DefaultFormattingConversionService.<init>() DefaultFormattingConversionService.java","221","1"
"sun.misc.URLClassPath.getNextLoader(int[], int) URLClassPath.java","221","108289"
"org.springframework.beans.factory.config.DependencyDescriptor.resolveCandidate(String, Class, BeanFactory) DependencyDescriptor.java","218","2"
"org.springframework.boot.autoconfigure.condition.BeanTypeRegistry.getNamesForType(Class) BeanTypeRegistry.java","218","40"
"org.springframework.format.support.DefaultFormattingConversionService.addDefaultFormatters(FormatterRegistry) DefaultFormattingConversionService.java","217","1"
"org.springframework.boot.autoconfigure.condition.BeanTypeRegistry.updateTypesIfNecessary() BeanTypeRegistry.java","214","40"
"org.springframework.context.annotation.ConfigurationClassParser$SourceClass.getAnnotations() ConfigurationClassParser.java","212","227"
"org.springframework.beans.BeanUtils.instantiateClass(Constructor, Object[]) BeanUtils.java","212","254"
"org.springframework.util.ClassUtils.forName(String, ClassLoader) ClassUtils.java","211","510"
"org.slf4j.LoggerFactory.getLogger(String) LoggerFactory.java","208","122"
"sun.reflect.generics.parser.SignatureParser.parseTypeSig(String) SignatureParser.java","207","847"
"org.springframework.boot.logging.LoggingApplicationListener.onApplicationEvent(ApplicationEvent) LoggingApplicationListener.java","205","3"
"sun.misc.MetaIndex.mayContain(String) MetaIndex.java","203","36676"
"java.util.regex.Matcher.search(int) Matcher.java","202","5371"
"java.util.regex.Matcher.find() Matcher.java","200","5224"
"java.util.regex.Pattern$Start.match(Matcher, int, CharSequence) Pattern.java","199","5370"
"org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.filterPropertyDescriptorsForDependencyCheck(BeanWrapper, boolean) AbstractAutowireCapableBeanFactory.java","199","11"
"org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.filterPropertyDescriptorsForDependencyCheck(BeanWrapper) AbstractAutowireCapableBeanFactory.java","199","11"
"org.slf4j.LoggerFactory.getILoggerFactory() LoggerFactory.java","198","122"
"org.slf4j.LoggerFactory.performInitialization() LoggerFactory.java","198","2"
"org.slf4j.LoggerFactory.bind() LoggerFactory.java","198","2"
"org.springframework.core.annotation.AnnotationUtils.findAnnotation(Class, Class) AnnotationUtils.java","195","389"
"org.springframework.core.annotation.AnnotationUtils.findAnnotation(Class, Class, boolean) AnnotationUtils.java","195","391"
"org.springframework.beans.BeanWrapperImpl.getPropertyDescriptors() BeanWrapperImpl.java","194","11"
"org.springframework.boot.autoconfigure.condition.BeanTypeRegistry.addBeanType(String) BeanTypeRegistry.java","191","113"
"org.springframework.boot.autoconfigure.condition.BeanTypeRegistry.addBeanTypeForNonAliasDefinition(String) BeanTypeRegistry.java","191","103"
"org.springframework.beans.factory.support.AbstractBeanFactory.isFactoryBean(String) AbstractBeanFactory.java","185","638"
"org.apache.tomcat.util.digester.SetPropertiesRule.begin(String, String, Attributes) SetPropertiesRule.java","185","1033"
"java.lang.Class.newInstance() Class.java","182","1126"
"java.lang.String.charAt(int) String.java","182","995219"
"java.lang.AbstractStringBuilder.append(String) AbstractStringBuilder.java","181","123104"
"java.beans.Introspector.getBeanInfo() Introspector.java","178","77"
"org.slf4j.impl.StaticLoggerBinder.<clinit>() StaticLoggerBinder.java","177","2"
"org.springframework.context.annotation.ConfigurationClassParser.parse(AnnotationMetadata, String) ConfigurationClassParser.java","176","1"
"org.apache.catalina.mbeans.MBeanUtils.createServer() MBeanUtils.java","174","2"
"org.apache.tomcat.util.modeler.Registry.getMBeanServer() Registry.java","174","1"
"org.springframework.core.annotation.AnnotationUtils.findAnnotation(Class, Class, Set) AnnotationUtils.java","173","603"
"java.lang.management.ManagementFactory.getPlatformMBeanServer() ManagementFactory.java","173","2"
"sun.misc.URLClassPath$JarLoader.checkResource(String, boolean, JarEntry) URLClassPath.java","173","2619"
"org.apache.tomcat.util.IntrospectionUtils.setProperty(Object, String, String) IntrospectionUtils.java","172","3678"
"org.springframework.context.annotation.ConfigurationClassParser$SourceClass.getMemberClasses() ConfigurationClassParser.java","171","41"
"org.apache.tomcat.util.IntrospectionUtils.setProperty(Object, String, String, boolean) IntrospectionUtils.java","170","3678"
"java.lang.reflect.Executable.declaredAnnotations() Executable.java","167","2670"
"org.springframework.util.ReflectionUtils$2.doWith(Method) ReflectionUtils.java","167","4626"
"java.util.regex.Pattern$GroupHead.match(Matcher, int, CharSequence) Pattern.java","166","47248"
"org.springframework.boot.logging.LoggingApplicationListener.onApplicationEnvironmentPreparedEvent(ApplicationEnvironmentPreparedEvent) LoggingApplicationListener.java","165","1"
"org.springframework.boot.logging.LoggingApplicationListener.initialize(ConfigurableEnvironment, ClassLoader) LoggingApplicationListener.java","165","1"
"org.springframework.asm.ClassReader.readMethod(ClassVisitor, Context, int) ClassReader.java","165","447"
"sun.misc.URLClassPath.getLoader(int) URLClassPath.java","164","108289"
"sun.reflect.annotation.AnnotationParser.parseMemberValue(Class, ByteBuffer, ConstantPool, Class) AnnotationParser.java","164","1657"
"org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.initializeBean(String, Object, RootBeanDefinition) AbstractAutowireCapableBeanFactory.java","164","14"
"org.springframework.format.datetime.standard.DateTimeFormatterRegistrar.registerFormatters(FormatterRegistry) DateTimeFormatterRegistrar.java","163","1"
"sun.misc.URLClassPath$JarLoader.findResource(String, boolean) URLClassPath.java","162","18868"
"org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.invokeInitMethods(String, Object, RootBeanDefinition) AbstractAutowireCapableBeanFactory.java","161","14"
"org.springframework.beans.factory.support.DefaultListableBeanFactory.getBeanNamesForType(Class, boolean, boolean) DefaultListableBeanFactory.java","160","19"
"org.springframework.boot.context.config.ConfigFileApplicationListener.<init>() ConfigFileApplicationListener.java","160","2"
"org.springframework.beans.factory.support.DefaultListableBeanFactory.doGetBeanNamesForType(ResolvableType, boolean, boolean) DefaultListableBeanFactory.java","159","19"
"java.lang.String.startsWith(String) String.java","157","259781"
"org.springframework.core.convert.support.DefaultConversionService.addDefaultConverters(ConverterRegistry) DefaultConversionService.java","157","3"
"org.springframework.core.ResolvableType.as(Class) ResolvableType.java","155","1339"
"org.springframework.core.convert.support.DefaultConversionService.<init>() DefaultConversionService.java","155","2"
"java.util.regex.Pattern$CharProperty.match(Matcher, int, CharSequence) Pattern.java","154","46794"
"sun.net.www.protocol.file.Handler.parseURL(URL, String, int, int) Handler.java","152","6743"
"org.springframework.boot.context.config.ConfigFileApplicationListener.bindToSpringApplication(ConfigurableEnvironment, SpringApplication) ConfigFileApplicationListener.java","149","1"
"org.springframework.core.ResolvableType.getInterfaces() ResolvableType.java","148","601"
"com.fasterxml.jackson.databind.ObjectMapper.<init>() ObjectMapper.java","148","2"
"com.fasterxml.jackson.databind.ObjectMapper.<init>(JsonFactory, DefaultSerializerProvider, DefaultDeserializationContext) ObjectMapper.java","148","2"
"org.springframework.boot.bind.PropertiesConfigurationFactory.bindPropertiesToTarget() PropertiesConfigurationFactory.java","146","1"
"org.springframework.boot.bind.PropertiesConfigurationFactory.doBindPropertiesToTarget() PropertiesConfigurationFactory.java","146","1"
"org.slf4j.impl.StaticLoggerBinder.init() StaticLoggerBinder.java","145","1"
"org.springframework.core.annotation.AnnotatedElementUtils.searchWithGetSemantics(AnnotatedElement, Class, String, Class, AnnotatedElementUtils$Processor, Set, int) AnnotatedElementUtils.java","143","348"
"java.net.URLStreamHandler.parseURL(URL, String, int, int) URLStreamHandler.java","143","6743"
"org.springframework.boot.BeanDefinitionLoader.isComponent(Class) BeanDefinitionLoader.java","142","1"
"org.springframework.validation.beanvalidation.LocalValidatorFactoryBean.afterPropertiesSet() LocalValidatorFactoryBean.java","141","1"
"org.springframework.core.annotation.AnnotatedElementUtils.searchWithGetSemantics(AnnotatedElement, Class, String, AnnotatedElementUtils$Processor) AnnotatedElementUtils.java","141","72"
"org.springframework.core.annotation.AnnotatedElementUtils.searchWithGetSemantics(AnnotatedElement, Class, String, Class, AnnotatedElementUtils$Processor) AnnotatedElementUtils.java","141","72"
"org.springframework.boot.autoconfigure.condition.OnClassCondition$StandardOutcomesResolver.getOutcomes(String[], int, int, AutoConfigurationMetadata) OnClassCondition.java","141","2"
"org.springframework.boot.autoconfigure.condition.OnClassCondition$StandardOutcomesResolver.resolveOutcomes() OnClassCondition.java","141","2"
"java.lang.reflect.Method.getAnnotation(Class) Method.java","140","1067"
"java.lang.reflect.Executable.getAnnotation(Class) Executable.java","139","1068"
